2021-10-11 09:44:45,352 MDT INFO   log.monitoring 1155 [localhost-startStop-1] **** Server Started (logVersion=1.4) ****
2021-10-11 09:44:45,354 MDT INFO   log.monitoring 1155 [localhost-startStop-1] ,max mem (MB),total mem (MB),free mem (MB),strings pool,integers pool,other objects pool
2021-10-11 10:11:55,869 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,210,167,0,
2021-10-11 10:12:05,871 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,209,167,0,
2021-10-11 10:12:15,874 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,208,167,0,
2021-10-11 10:12:25,877 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,206,167,0,
2021-10-11 10:12:45,883 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,205,167,0,
2021-10-11 10:12:55,886 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,204,167,0,
2021-10-11 10:13:05,891 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,187,167,0,
2021-10-11 10:13:15,894 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,186,167,0,
2021-10-11 10:13:25,899 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,216,227,0,
2021-10-11 10:13:35,903 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,212,227,0,
2021-10-11 10:13:45,909 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,362,204,0,
2021-10-11 10:13:55,912 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,309,208,0,
2021-10-11 10:14:05,914 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,307,208,0,
2021-10-11 10:14:15,917 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,186,210,0,
2021-10-11 10:14:25,919 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,245,210,0,
2021-10-11 10:14:35,923 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,347,210,0,
2021-10-11 10:14:45,929 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,343,206,0,
2021-10-11 10:14:55,929 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,341,206,0,
2021-10-11 10:15:05,930 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,339,206,0,
2021-10-11 10:15:15,931 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,200,216,0,
2021-10-11 10:15:25,935 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,322,212,0,
2021-10-11 10:15:35,941 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,298,217,0,
2021-10-11 10:15:45,946 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,247,217,0,
